6,-24.0,90.0,0,24,0
6,-24.0,90.0,1,15,5
6,-24.0,90.0,2,18,1
6,-24.0,90.0,3,14,1
6,-24.0,90.0,4,24,4
6,-24.0,90.0,5,24,0
8,-24.0,90.0,0,24,3
8,-24.0,90.0,1,23,3
8,-24.0,90.0,2,21,0
8,-24.0,90.0,3,15,0
8,-24.0,90.0,4,15,2
8,-24.0,90.0,5,15,3
8,-24.0,90.0,6,19,1
8,-24.0,90.0,7,24,0
3,-27.0,120.0,0,24,2
3,-27.0,120.0,1,24,16
3,-27.0,120.0,2,24,0
6,-24.0,100.0,0,19,1
6,-24.0,100.0,1,23,4
6,-24.0,100.0,2,16,1
6,-24.0,100.0,3,14,3
6,-24.0,100.0,4,23,2
6,-24.0,100.0,5,24,0
3,-24.0,80.0,0,24,3
3,-24.0,80.0,1,24,15
3,-24.0,80.0,2,24,0
8,-24.0,100.0,0,23,1
8,-24.0,100.0,1,17,2
8,-24.0,100.0,2,23,0
8,-24.0,100.0,3,15,4
8,-24.0,100.0,4,17,2
8,-24.0,100.0,5,18,1
8,-24.0,100.0,6,19,2
8,-24.0,100.0,7,24,0
3,-24.0,90.0,0,24,2
3,-24.0,90.0,1,24,16
3,-24.0,90.0,2,24,0
6,-24.0,110.0,0,24,0
6,-24.0,110.0,1,15,5
6,-24.0,110.0,2,15,1
6,-24.0,110.0,3,19,2
6,-24.0,110.0,4,22,3
6,-24.0,110.0,5,24,0
8,-24.0,110.0,0,24,4
8,-24.0,110.0,1,14,1
8,-24.0,110.0,2,23,5
8,-24.0,110.0,3,17,3
8,-24.0,110.0,4,15,0
8,-24.0,110.0,5,19,1
8,-24.0,110.0,6,22,0
8,-24.0,110.0,7,24,0
3,-24.0,100.0,0,24,2
3,-24.0,100.0,1,23,15
3,-24.0,100.0,2,24,0
6,-24.0,120.0,0,18,2
6,-24.0,120.0,1,24,0
6,-24.0,120.0,2,15,5
6,-24.0,120.0,3,15,2
6,-24.0,120.0,4,23,2
6,-24.0,120.0,5,24,0
3,-24.0,110.0,0,24,0
3,-24.0,110.0,1,20,14
3,-24.0,110.0,2,24,0
8,-24.0,120.0,0,23,1
8,-24.0,120.0,1,15,2
8,-24.0,120.0,2,24,0
8,-24.0,120.0,3,18,2
8,-24.0,120.0,4,15,5
8,-24.0,120.0,5,20,1
8,-24.0,120.0,6,17,1
8,-24.0,120.0,7,24,0
3,-24.0,120.0,0,24,0
3,-24.0,120.0,1,19,13
3,-24.0,120.0,2,24,0
6,-21.0,80.0,0,18,1
6,-21.0,80.0,1,19,4
6,-21.0,80.0,2,23,2
6,-21.0,80.0,3,16,3
6,-21.0,80.0,4,18,0
6,-21.0,80.0,5,24,0
8,-21.0,80.0,0,20,1
8,-21.0,80.0,1,23,4
8,-21.0,80.0,2,16,0
8,-21.0,80.0,3,16,0
8,-21.0,80.0,4,14,0
8,-21.0,80.0,5,20,4
8,-21.0,80.0,6,23,3
8,-21.0,80.0,7,24,0
3,-21.0,80.0,0,24,4
3,-21.0,80.0,1,24,14
3,-21.0,80.0,2,24,0
3,-21.0,90.0,0,24,3
3,-21.0,90.0,1,23,14
3,-21.0,90.0,2,24,0
6,-21.0,90.0,0,20,2
6,-21.0,90.0,1,22,0
6,-21.0,90.0,2,16,3
6,-21.0,90.0,3,15,2
6,-21.0,90.0,4,21,3
6,-21.0,90.0,5,24,0
8,-21.0,90.0,0,20,3
8,-21.0,90.0,1,16,1
8,-21.0,90.0,2,17,1
8,-21.0,90.0,3,20,4
8,-21.0,90.0,4,21,0
8,-21.0,90.0,5,20,3
8,-21.0,90.0,6,18,0
8,-21.0,90.0,7,24,0
3,-21.0,100.0,0,24,2
3,-21.0,100.0,1,22,14
3,-21.0,100.0,2,24,0
3,-21.0,110.0,0,24,2
3,-21.0,110.0,1,22,14
3,-21.0,110.0,2,24,0
8,-21.0,100.0,0,23,3
8,-21.0,100.0,1,18,1
8,-21.0,100.0,2,15,0
8,-21.0,100.0,3,17,4
8,-21.0,100.0,4,19,2
8,-21.0,100.0,5,22,2
8,-21.0,100.0,6,18,0
8,-21.0,100.0,7,24,0
6,-21.0,100.0,0,20,0
6,-21.0,100.0,1,19,6
6,-21.0,100.0,2,19,2
6,-21.0,100.0,3,17,1
6,-21.0,100.0,4,19,1
